                       x                       y                  u(x,y)
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  1.0101010101010102E-02  0.0000000000000000E+00  6.3423919656564506E-02
  2.0202020202020204E-02  0.0000000000000000E+00  1.2659245357374926E-01
  3.0303030303030304E-02  0.0000000000000000E+00  1.8925124436041019E-01
  4.0404040404040407E-02  0.0000000000000000E+00  2.5114798718107922E-01
  5.0505050505050511E-02  0.0000000000000000E+00  3.1203344569848712E-01
  6.0606060606060608E-02  0.0000000000000000E+00  3.7166245566032752E-01
  7.0707070707070718E-02  0.0000000000000000E+00  4.2979491208917170E-01
  8.0808080808080815E-02  0.0000000000000000E+00  4.8619673610046871E-01
  9.0909090909090912E-02  0.0000000000000000E+00  5.4064081745559756E-01
  1.0101010101010102E-01  0.0000000000000000E+00  5.9290792905464051E-01
  1.1111111111111112E-01  0.0000000000000000E+00  6.4278760968653936E-01
  1.2121212121212122E-01  0.0000000000000000E+00  6.9007901148211193E-01
  1.3131313131313133E-01  0.0000000000000000E+00  7.3459170865753332E-01
  1.4141414141414144E-01  0.0000000000000000E+00  7.7614646429175693E-01
  1.5151515151515152E-01  0.0000000000000000E+00  8.1457595205033573E-01
  1.6161616161616163E-01  0.0000000000000000E+00  8.4972542994951439E-01
  1.7171717171717174E-01  0.0000000000000000E+00  8.8145336344758207E-01
  1.8181818181818182E-01  0.0000000000000000E+00  9.0963199535451833E-01
  1.9191919191919193E-01  0.0000000000000000E+00  9.3414786026510666E-01
  2.0202020202020204E-01  0.0000000000000000E+00  9.5490224144407398E-01
  2.1212121212121213E-01  0.0000000000000000E+00  9.7181156832354165E-01
  2.2222222222222224E-01  0.0000000000000000E+00  9.8480775301220813E-01
  2.3232323232323235E-01  0.0000000000000000E+00  9.9383846446125412E-01
  2.4242424242424243E-01  0.0000000000000000E+00  9.9886733918300796E-01
  2.5252525252525254E-01  0.0000000000000000E+00  9.9987412767387507E-01
  2.6262626262626265E-01  0.0000000000000000E+00  9.9685477595194238E-01
  2.7272727272727276E-01  0.0000000000000000E+00  9.8982144188093268E-01
  2.8282828282828287E-01  0.0000000000000000E+00  9.7880244621477863E-01
  2.9292929292929293E-01  0.0000000000000000E+00  9.6384215855994215E-01
  3.0303030303030304E-01  0.0000000000000000E+00  9.4500081871466846E-01
