                       x                       y                  u(x,y)
  0.0000000000000000E+00  0.0000000000000000E+00 -2.0442722747070229E-10
  1.0101010101010102E-02  0.0000000000000000E+00  6.3423919657387695E-02
  2.0202020202020204E-02  0.0000000000000000E+00  1.2659245357539234E-01
  3.0303030303030304E-02  0.0000000000000000E+00  1.8925124436286647E-01
  4.0404040404040407E-02  0.0000000000000000E+00  2.5114798718433884E-01
  5.0505050505050511E-02  0.0000000000000000E+00  3.1203344570253699E-01
  6.0606060606060608E-02  0.0000000000000000E+00  3.7166245566515127E-01
  7.0707070707070718E-02  0.0000000000000000E+00  4.2979491209474990E-01
  8.0808080808080815E-02  0.0000000000000000E+00  4.8619673610677888E-01
  9.0909090909090912E-02  0.0000000000000000E+00  5.4064081746261428E-01
  1.0101010101010102E-01  0.0000000000000000E+00  5.9290792906233558E-01
  1.1111111111111112E-01  0.0000000000000000E+00  6.4278760969488224E-01
  1.2121212121212122E-01  0.0000000000000000E+00  6.9007901149106798E-01
  1.3131313131313133E-01  0.0000000000000000E+00  7.3459170866706713E-01
  1.4141414141414144E-01  0.0000000000000000E+00  7.7614646430183076E-01
  1.5151515151515152E-01  0.0000000000000000E+00  8.1457595206090783E-01
  1.6161616161616163E-01  0.0000000000000000E+00  8.4972542996054279E-01
  1.7171717171717174E-01  0.0000000000000000E+00  8.8145336345902248E-01
  1.8181818181818182E-01  0.0000000000000000E+00  9.0963199536632433E-01
  1.9191919191919193E-01  0.0000000000000000E+00  9.3414786027723096E-01
  2.0202020202020204E-01  0.0000000000000000E+00  9.5490224145646685E-01
  2.1212121212121213E-01  0.0000000000000000E+00  9.7181156833615456E-01
  2.2222222222222224E-01  0.0000000000000000E+00  9.8480775302498946E-01
  2.3232323232323235E-01  0.0000000000000000E+00  9.9383846447415269E-01
  2.4242424242424243E-01  0.0000000000000000E+00  9.9886733919597248E-01
  2.5252525252525254E-01  0.0000000000000000E+00  9.9987412768685258E-01
  2.6262626262626265E-01  0.0000000000000000E+00  9.9685477596488037E-01
  2.7272727272727276E-01  0.0000000000000000E+00  9.8982144189377941E-01
  2.8282828282828287E-01  0.0000000000000000E+00  9.7880244622748247E-01
  2.9292929292929293E-01  0.0000000000000000E+00  9.6384215857245137E-01
  3.0303030303030304E-01  0.0000000000000000E+00  9.4500081872693331E-01
  3.1313131313131315E-01  0.0000000000000000E+00  9.2235429411655234E-01
  3.2323232323232326E-01  0.0000000000000000E+00  8.9599377430296467E-01
  3.3333333333333337E-01  0.0000000000000000E+00  8.6602540379567838E-01
  3.4343434343434348E-01  0.0000000000000000E+00  8.3256985464557631E-01
  3.5353535353535359E-01  0.0000000000000000E+00  7.9576184054115973E-01
  3.6363636363636365E-01  0.0000000000000000E+00  7.5574957436406698E-01
  3.7373737373737376E-01  0.0000000000000000E+00  7.1269417138811264E-01
  3.8383838383838387E-01  0.0000000000000000E+00  6.6676900052494548E-01
  3.9393939393939398E-01  0.0000000000000000E+00  6.1815898622862786E-01
  4.0404040404040409E-01  0.0000000000000000E+00  5.6705986387012985E-01
  4.1414141414141420E-01  0.0000000000000000E+00  5.1367739158007319E-01
  4.2424242424242425E-01  0.0000000000000000E+00  4.5822652173335787E-01
  4.3434343434343436E-01  0.0000000000000000E+00  4.0093053541181722E-01
  4.4444444444444448E-01  0.0000000000000000E+00  3.4202014333010750E-01
  4.5454545454545459E-01  0.0000000000000000E+00  2.8173255684508597E-01
  4.6464646464646470E-01  0.0000000000000000E+00  2.2031053278939977E-01
  4.7474747474747481E-01  0.0000000000000000E+00  1.5800139597540017E-01
  4.8484848484848486E-01  0.0000000000000000E+00  9.5056043305416588E-02
  4.9494949494949497E-01  0.0000000000000000E+00  3.1727933498479445E-02
  5.0505050505050508E-01  0.0000000000000000E+00 -3.1727933498479646E-02
  5.1515151515151525E-01  0.0000000000000000E+00 -9.5056043305416740E-02
  5.2525252525252530E-01  0.0000000000000000E+00 -1.5800139597540075E-01
  5.3535353535353536E-01  0.0000000000000000E+00 -2.2031053278939988E-01
  5.4545454545454553E-01  0.0000000000000000E+00 -2.8173255684508625E-01
  5.5555555555555558E-01  0.0000000000000000E+00 -3.4202014333010772E-01
  5.6565656565656575E-01  0.0000000000000000E+00 -4.0093053541181789E-01
  5.7575757575757580E-01  0.0000000000000000E+00 -4.5822652173335798E-01
  5.8585858585858586E-01  0.0000000000000000E+00 -5.1367739158007253E-01
  5.9595959595959602E-01  0.0000000000000000E+00 -5.6705986387013063E-01
  6.0606060606060608E-01  0.0000000000000000E+00 -6.1815898622862808E-01
  6.1616161616161624E-01  0.0000000000000000E+00 -6.6676900052494592E-01
  6.2626262626262630E-01  0.0000000000000000E+00 -7.1269417138811275E-01
  6.3636363636363646E-01  0.0000000000000000E+00 -7.5574957436406753E-01
  6.4646464646464652E-01  0.0000000000000000E+00 -7.9576184054116006E-01
  6.5656565656565657E-01  0.0000000000000000E+00 -8.3256985464557642E-01
  6.6666666666666674E-01  0.0000000000000000E+00 -8.6602540379567883E-01
  6.7676767676767680E-01  0.0000000000000000E+00 -8.9599377430296478E-01
  6.8686868686868696E-01  0.0000000000000000E+00 -9.2235429411655268E-01
  6.9696969696969702E-01  0.0000000000000000E+00 -9.4500081872693320E-01
  7.0707070707070718E-01  0.0000000000000000E+00 -9.6384215857245115E-01
  7.1717171717171724E-01  0.0000000000000000E+00 -9.7880244622748269E-01
  7.2727272727272729E-01  0.0000000000000000E+00 -9.8982144189377930E-01
  7.3737373737373746E-01  0.0000000000000000E+00 -9.9685477596488037E-01
  7.4747474747474751E-01  0.0000000000000000E+00 -9.9987412768685258E-01
  7.5757575757575768E-01  0.0000000000000000E+00 -9.9886733919597215E-01
  7.6767676767676774E-01  0.0000000000000000E+00 -9.9383846447415314E-01
  7.7777777777777779E-01  0.0000000000000000E+00 -9.8480775302498957E-01
  7.8787878787878796E-01  0.0000000000000000E+00 -9.7181156833615445E-01
  7.9797979797979801E-01  0.0000000000000000E+00 -9.5490224145646718E-01
  8.0808080808080818E-01  0.0000000000000000E+00 -9.3414786027723085E-01
  8.1818181818181823E-01  0.0000000000000000E+00 -9.0963199536632422E-01
  8.2828282828282840E-01  0.0000000000000000E+00 -8.8145336345902225E-01
  8.3838383838383845E-01  0.0000000000000000E+00 -8.4972542996054268E-01
  8.4848484848484851E-01  0.0000000000000000E+00 -8.1457595206090794E-01
  8.5858585858585867E-01  0.0000000000000000E+00 -7.7614646430183021E-01
  8.6868686868686873E-01  0.0000000000000000E+00 -7.3459170866706702E-01
  8.7878787878787890E-01  0.0000000000000000E+00 -6.9007901149106743E-01
  8.8888888888888895E-01  0.0000000000000000E+00 -6.4278760969488180E-01
  8.9898989898989912E-01  0.0000000000000000E+00 -5.9290792906233514E-01
  9.0909090909090917E-01  0.0000000000000000E+00 -5.4064081746261439E-01
  9.1919191919191923E-01  0.0000000000000000E+00 -4.8619673610677899E-01
  9.2929292929292939E-01  0.0000000000000000E+00 -4.2979491209474929E-01
  9.3939393939393945E-01  0.0000000000000000E+00 -3.7166245566515105E-01
  9.4949494949494961E-01  0.0000000000000000E+00 -3.1203344570253594E-01
  9.5959595959595967E-01  0.0000000000000000E+00 -2.5114798718433917E-01
  9.6969696969696972E-01  0.0000000000000000E+00 -1.8925124436286689E-01
  9.7979797979797989E-01  0.0000000000000000E+00 -1.2659245357539209E-01
  9.8989898989898994E-01  0.0000000000000000E+00 -6.3423919657387653E-02
  1.0000000000000000E+00  0.0000000000000000E+00  2.0442698460831633E-10
  0.0000000000000000E+00  1.0101010101010102E-02  0.0000000000000000E+00
  1.0101010101010102E-02  1.0101010101010102E-02  6.3289927915939015E-02
  2.0202020202020204E-02  1.0101010101010102E-02  1.2632533123820150E-01
  3.0303030303030304E-02  1.0101010101010102E-02  1.8885236893872609E-01
  4.0404040404040407E-02  1.0101010101010102E-02  2.5061924820845832E-01
  5.0505050505050511E-02  1.0101010101010102E-02  3.1137723831746073E-01
  6.0606060606060608E-02  1.0101010101010102E-02  3.7088167200472832E-01
  7.0707070707070718E-02  1.0101010101010102E-02  4.2889293074897600E-01
  8.0808080808080815E-02  1.0101010101010102E-02  4.8517740941000159E-01
  9.0909090909090912E-02  1.0101010101010102E-02  5.3950845655645452E-01
  1.0101010101010102E-01  1.0101010101010102E-02  5.9166728798460910E-01
