                       x                       y                  E(x,y)
  0.0000000000000000E+00  0.0000000000000000E+00  2.0445296244066782E-10
  1.0101010101010102E-02  0.0000000000000000E+00  8.2329236912171234E-13
  2.0202020202020204E-02  0.0000000000000000E+00  1.6432814089474225E-12
  3.0303030303030304E-02  0.0000000000000000E+00  2.4565943925068421E-12
  4.0404040404040407E-02  0.0000000000000000E+00  3.2600251472479695E-12
  5.0505050505050511E-02  0.0000000000000000E+00  4.0503813801536587E-12
  6.0606060606060608E-02  0.0000000000000000E+00  4.8243597619279086E-12
  7.0707070707070718E-02  0.0000000000000000E+00  5.5789067949021447E-12
  8.0808080808080815E-02  0.0000000000000000E+00  6.3109689814077941E-12
  9.0909090909090912E-02  0.0000000000000000E+00  7.0176038600551406E-12
  1.0101010101010102E-01  0.0000000000000000E+00  7.6960355238727530E-12
  1.1111111111111112E-01  0.0000000000000000E+00  8.3439322110046287E-12
  1.2121212121212122E-01  0.0000000000000000E+00  8.9571855791330536E-12
  1.3131313131313133E-01  0.0000000000000000E+00  9.5350183743060239E-12
  1.4141414141414144E-01  0.0000000000000000E+00  1.0075098834667540E-11
  1.5151515151515152E-01  0.0000000000000000E+00  1.0573429654178743E-11
  1.6161616161616163E-01  0.0000000000000000E+00  1.1029788760281915E-11
  1.7171717171717174E-01  0.0000000000000000E+00  1.1441844391121058E-11
  1.8181818181818182E-01  0.0000000000000000E+00  1.1807486857397883E-11
  1.9191919191919193E-01  0.0000000000000000E+00  1.2125827868881531E-11
  2.0202020202020204E-01  0.0000000000000000E+00  1.2394424627437145E-11
  2.1212121212121213E-01  0.0000000000000000E+00  1.2614498532132155E-11
  2.2222222222222224E-01  0.0000000000000000E+00  1.2782940567158558E-11
  2.3232323232323235E-01  0.0000000000000000E+00  1.2900194877631781E-11
  2.4242424242424243E-01  0.0000000000000000E+00  1.2966150427272969E-11
  2.5252525252525254E-01  0.0000000000000000E+00  1.2979141671899265E-11
  2.6262626262626265E-01  0.0000000000000000E+00  1.2939612756626094E-11
  2.7272727272727276E-01  0.0000000000000000E+00  1.2848340935405459E-11
  2.8282828282828287E-01  0.0000000000000000E+00  1.2705437244516217E-11
  2.9292929292929293E-01  0.0000000000000000E+00  1.2510790647679511E-11
  3.0303030303030304E-01  0.0000000000000000E+00  1.2266399797914771E-11
  3.1313131313131315E-01  0.0000000000000000E+00  1.1972486767779710E-11
  3.2323232323232326E-01  0.0000000000000000E+00  1.1630272956341760E-11
